Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	02/29/2020 	_x86_64_	(48 CPU)

05:43:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:43:39 AM     all      2.08      0.00      0.02      0.00      0.00     97.90
05:43:39 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
05:43:39 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      42      0.00      0.00      1.00      0.00      0.00     99.00
05:43:39 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
05:43:39 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

05:43:39 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:43:40 AM     all      2.08      0.00      0.00      0.00      0.00     97.92
05:43:40 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
